ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
7180,9,E07000200,3,71.06,213.57,25.84,232.15
7506,9,E07000200,4,81.2,395.3,25.84,431.1
7832,10,E07000200,0,36.26,300.91,18.64,329.21
9,1,E09000002,1,65.51,145.37,25.84,197.39
335,1,E09000002,2,77.51,157.04,25.84,192.07
661,1,E09000002,3,83.97,166.61,25.84,226.01
987,1,E09000002,4,101.48,186.77,25.84,251.49
2617,2,E09000002,0,70.47,317,18.64,502.91
1313,3,E09000002,1,58.13,118.85,25.84,146.43
1639,3,E09000002,2,63.67,139.02,25.84,175.09
1965,3,E09000002,3,71.06,159.17,25.84,200.55
2291,3,E09000002,4,83.05,259.98,25.84,261.04
2943,4,E09000002,0,60.1,371.82,18.64,402.8
3950,5,E09000002,1,65.51,160.24,25.84,175.09
4565,5,E09000002,2,77.51,203.75,25.84,220.72
5217,5,E09000002,3,83.97,248.31,25.84,270.61
5902,5,E09000002,4,101.48,304.55,25.84,332.14
3269,6,E09000002,0,70.47,342.01,18.64,373.01
4164,7,E09000002,1,58.13,160.24,25.84,175.09
4665,7,E09000002,2,63.67,203.75,25.84,220.72
5317,7,E09000002,3,71.06,248.31,25.84,270.61
5869,7,E09000002,4,83.05,304.55,25.84,332.14
3595,8,E09000002,0,60.1,342.01,18.64,373.01
6529,9,E09000002,1,65.51,200.32,25.84,218.87
6855,9,E09000002,2,77.51,254.69,25.84,275.9
7181,9,E09000002,3,83.97,310.37,25.84,338.25
7507,9,E09000002,4,101.48,380.68,25.84,415.17
7833,10,E09000002,0,70.47,239.85,18.64,260.68
10,1,E09000003,1,65.51,145.37,25.84,197.39
336,1,E09000003,2,77.51,157.04,25.84,192.07
662,1,E09000003,3,83.97,166.61,25.84,226.01
988,1,E09000003,4,101.48,186.77,25.84,251.49
2618,2,E09000003,0,70.47,317,18.64,502.91
1314,3,E09000003,1,58.13,118.85,25.84,146.43
1640,3,E09000003,2,63.67,139.02,25.84,175.09
1966,3,E09000003,3,71.06,159.17,25.84,200.55
2292,3,E09000003,4,83.05,259.98,25.84,261.04
2944,4,E09000003,0,60.1,371.82,18.64,402.8
3951,5,E09000003,1,65.51,235.58,25.84,256.8
